"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"137",0,0.0515389554968517,0.982,0.037,0,"4","h1SMcG0013410"
"138",0,0.0507347704969337,0.174,0.002,0,"4","h1SMcG0017245"
"139",0,0.0506918264851435,0.158,0.002,0,"4","h1SMcG0020137"
"140",0,0.0506273813478731,0.112,0.001,0,"4","h1SMcG0018171"
"141",0,0.0505381610019139,0.308,0.004,0,"4","h1SMcG0011148"
"142",0,0.0504650060616822,0.258,0.003,0,"4","h1SMcG0002085"
"143",0,0.0503110702833859,0.487,0.008,0,"4","h1SMnG0022132"
"144",0,0.0501121017902172,0.13,0.002,0,"4","h1SMnG0004189"
"145",0,0.0500630868845264,0.181,0.002,0,"4","h1SMnG0022130"
"146",0,0.0500610995867618,0.17,0.002,0,"4","h1SMcG0018239"
"147",0,0.0500598516104354,0.712,0.017,0,"4","h1SMnG0021984"
"148",0,0.0499565775697417,0.112,0.001,0,"4","h1SMnG0025414"
"149",0,0.049836083920769,0.153,0.002,0,"4","h1SMcG0005452"
"150",0,0.0497486042377399,0.171,0.002,0,"4","h1SMcG0017436"
"151",0,0.0570064742913702,0.103,0.001,0,"5","h1SMnG0009249"
"152",0,0.0567149123352951,0.272,0.002,0,"5","h1SMcG0005487"
"153",0,0.0454654334903391,0.139,0.003,0,"5","h1SMcG0001650"
"154",0,0.0450662191117124,0.518,0.015,0,"5","h1SMcG0007170"
"155",0,0.0426570008013357,0.377,0.01,0,"5","h1SMcG0011169"
"156",0,0.0425439894944135,0.191,0.005,0,"5","h1SMcG0016770"
"157",0,0.0418214488393528,0.164,0.004,0,"5","h1SMcG0008734"
"158",0,0.0400497455120285,0.205,0.006,0,"5","h1SMnG0014588"
"159",0,0.0395384899767602,0.493,0.017,0,"5","h1SMcG0003473"
"160",0,0.0393830043763496,0.212,0.007,0,"5","h1SMcG0005213"
"161",0,0.0372956124191021,0.659,0.028,0,"5","h1SMcG0016328"
"162",0,0.0367821011756172,0.119,0.004,0,"5","h1SMcG0002211"
"163",0,0.0362512006112097,0.116,0.004,0,"5","h1SMcG0016398"
"164",0,0.0356719053425584,0.297,0.012,0,"5","h1SMcG0015571"
"165",0,0.0353312291303372,0.169,0.006,0,"5","h1SMcG0009177"
"166",0,0.0351670983773127,0.103,0.004,0,"5","h1SMnG0009124"
"167",0,0.0347716226161183,0.132,0.005,0,"5","h1SMnG0026464"
"168",0,0.0345376664548342,0.116,0.005,0,"5","h1SMcG0001209"
"169",0,0.0337626253223699,0.151,0.006,0,"5","h1SMcG0016304"
"170",0,0.0335244961938259,0.224,0.01,0,"5","h1SMnG0009126"
"171",0,0.0330327402726889,0.203,0.008,0,"5","h1SMcG0001681"
"172",0,0.0326118457653662,0.151,0.007,0,"5","h1SMcG0016264"
"173",0,0.0322979052854937,0.123,0.005,0,"5","h1SMcG0008238"
"174",0,0.0316663595615332,0.198,0.009,0,"5","h1SMcG0007060"
"175",0,0.0313541358018819,0.367,0.018,0,"5","h1SMnG0002083"
"176",0,0.0310183023819544,0.533,0.031,0,"5","h1SMcG0016327"
"177",0,0.0305691059553471,0.16,0.008,0,"5","h1SMcG0019473"
"178",0,0.030416227974435,0.369,0.019,0,"5","h1SMcG0016144"
"179",0,0.0298650850674835,0.129,0.007,0,"5","h1SMcG0019539"
"180",0,0.0290301085187833,0.118,0.006,0,"5","h1SMnG0002084"
"181",0,0.00899425750711527,0.496,0.091,0,"6","h1SMcG0013999"
"182",0,0.00873287939972701,0.275,0.053,0,"6","h1SMcG0005241"
"183",0,0.0087197949682355,0.23,0.047,0,"6","h1SMcG0013162"
"184",0,0.0081398342787178,0.234,0.051,0,"6","h1SMcG0009165"
"185",0,0.00797564446006869,0.211,0.048,0,"6","h1SMcG0020537"
"186",0,0.00773055892172175,0.969,0.265,0,"6","h1SMcG0008035"
"187",0,0.00665798248948072,0.221,0.053,0,"6","h1SMcG0006230"
"188",0,0.00613866874186175,0.246,0.069,0,"6","h1SMcG0016303"
"189",0,0.00519496937020096,0.606,0.21,0,"6","h1SMcG0019482"
"190",0,0.00367458387423823,0.515,0.217,0,"6","h1SMcG0002117"
