"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"h1SMcG00010823",0,0.029149435806544,0.897,0.1,0,"21","h1SMcG0001082"
"h1SMcG00067873",0,0.0289842772907962,0.8,0.089,0,"21","h1SMcG0006787"
"h1SMcG00112013",0,0.028857878527671,0.368,0.03,0,"21","h1SMcG0011201"
"h1SMcG0019069",0,0.0288498065584064,0.1,0.007,0,"21","h1SMcG0019069"
"h1SMcG00191403",0,0.028799327826286,0.714,0.07,0,"21","h1SMcG0019140"
"h1SMcG00141343",0,0.0287293277819984,0.84,0.09,0,"21","h1SMcG0014134"
"h1SMcG00022213",0,0.0283432812969705,0.766,0.078,0,"21","h1SMcG0002221"
"h1SMcG00068573",0,0.0283307758255746,0.922,0.14,0,"21","h1SMcG0006857"
"h1SMcG00094723",0,0.0282618808646187,0.906,0.113,0,"21","h1SMcG0009472"
"h1SMcG00151151",0,0.0282426747626267,0.198,0.015,0,"21","h1SMcG0015115"
"h1SMcG00151032",0,0.0274958027660773,0.192,0.016,0,"21","h1SMcG0015103"
"h1SMcG0023112",0,0.0274812040909047,0.113,0.009,0,"21","h1SMcG0023112"
"h1SMcG0015050",0,0.0274479246637329,0.124,0.01,0,"21","h1SMcG0015050"
"h1SMcG0016319",0,0.0273193005246484,0.169,0.014,0,"21","h1SMcG0016319"
"h1SMcG00045943",0,0.0272969748290667,0.305,0.026,0,"21","h1SMcG0004594"
"h1SMcG0014168",0,0.0272397811804699,0.155,0.013,0,"21","h1SMcG0014168"
"h1SMcG0022403",0,0.0271022404957667,0.102,0.008,0,"21","h1SMcG0022403"
"h1SMcG00188772",0,0.0270303604121375,0.239,0.02,0,"21","h1SMcG0018877"
"h1SMcG00223933",0,0.0266893623496762,0.235,0.02,0,"21","h1SMcG0022393"
"h1SMcG00210763",0,0.0265089143180138,0.378,0.036,0,"21","h1SMcG0021076"
"h1SMcG0017363",0,0.0263745728823448,0.186,0.015,0,"21","h1SMcG0017363"
"h1SMcG00134453",0,0.0262524699012677,0.507,0.05,0,"21","h1SMcG0013445"
"h1SMcG00211392",0,0.025824142789444,0.279,0.024,0,"21","h1SMcG0021139"
"h1SMcG00209423",0,0.0256764590732251,0.46,0.046,0,"21","h1SMcG0020942"
"h1SMcG00032334",0,0.0254967675841372,0.651,0.071,0,"21","h1SMcG0003233"
