homer_ID	cl	cl_name
RORa(NR)/Liver-Rora-ChIP-Seq(GSE101115)/Homer	c_115	NR(ROR)
RORg(NR)/Liver-Rorc-ChIP-Seq(GSE101115)/Homer	c_115	NR(ROR)
RORgt(NR)/EL4-RORgt.Flag-ChIP-Seq(GSE56019)/Homer	c_115	NR(ROR)
LXRE(NR),DR4/RAW-LXRb.biotin-ChIP-Seq(GSE21512)/Homer	c_78	NR(THR)
THRa(NR)/C17.2-THRa-ChIP-Seq(GSE38347)/Homer	c_78	NR(THR)
THRb(NR)/HepG2-THRb.Flag-ChIP-Seq(Encode)/Homer	c_78	NR(THR)
THRb(NR)/Liver-NR1A2-ChIP-Seq(GSE52613)/Homer	c_78	NR(THR)
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	c_29	NR_1
COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)/Homer	c_29	NR_1
EAR2(NR)/K562-NR2F6-ChIP-Seq(Encode)/Homer	c_29	NR_1
Erra(NR)/HepG2-Erra-ChIP-Seq(GSE31477)/Homer	c_29	NR_1
ERRg(NR)/Kidney-ESRRG-ChIP-Seq(GSE104905)/Homer	c_29	NR_1
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431)/Homer	c_29	NR_1
RAR:RXR(NR),DR5/ES-RAR-ChIP-Seq(GSE56893)/Homer	c_29	NR_1
RARa(NR)/K562-RARa-ChIP-Seq(Encode)/Homer	c_29	NR_1
Nr5a2(NR)/mES-Nr5a2-ChIP-Seq(GSE19019)/Homer	c_37	NR_2
Nr5a2(NR)/Pancreas-LRH1-ChIP-Seq(GSE34295)/Homer	c_37	NR_2
RAR:RXR(NR),DR0/ES-RAR-ChIP-Seq(GSE56893)/Homer	c_37	NR_2
RARg(NR)/ES-RARg-ChIP-Seq(GSE30538)/Homer	c_37	NR_2
FXR(NR),ER2/Liver-FXR-ChIP-Seq(GSE133700)/Homer	c_54	NR_3
SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220)/Homer	c_54	NR_3
FXR(NR),IR1/Liver-FXR-ChIP-Seq(Chong_et_al.)/Homer	c_55	NR_3
NRF(NRF)/Promoter/Homer	c_93	NRF
